Name,OriginalName,ObjectId,NoradId,SemiMajorAxis_m,ApproxAltitude_m,Eccentricity,Inclination_deg,RAAN_deg,ArgPerigee_deg,MeanAnomaly_deg,TrueAnomaly_deg,MeanMotion_rev_per_day,PlaneIndex,SlotIndex
EXT_P07_S01_46144,STARLINK-1606,2020-057AD,46144,6744377.25296932,373377.252969318,0.0003657,53.043,183.3518,354.3296,5.7677,5.77191329090313,15.67436586,7,1
EXT_P07_S02_46171,STARLINK-1633,2020-057BG,46171,6757730.0695045,386730.069504502,0.0007095,53.0416,186.5606,351.4053,8.6838,8.69608596171636,15.62793159,7,2
EXT_P07_S03_46376,STARLINK-1742,2020-062BD,46376,6679603.08832946,308603.088329457,0.0002883,53.0229,180.7647,284.8204,9.6478,9.65333863811351,15.90291643,7,3
EXT_P07_S04_46349,STARLINK-1575,2020-062AA,46349,6671883.04404569,300883.044045687,0.0006282,53.0232,187.4573,303.4233,270.8992,270.827221579552,15.93052634,7,4
EXT_P07_S05_46792,STARLINK-1934,2020-074BF,46792,6693909.72504808,322909.725048075,0.0004615,53.0398,192.113,354.9123,295.7405,295.692851729566,15.85196064,7,5
EXT_P07_S06_46172,STARLINK-1635,2020-057BH,46172,6752706.51521226,381706.515212259,0.0006834,53.0424,184.9513,26.0689,334.0668,334.032526092912,15.64537401,7,6
EXT_P07_S07_46780,STARLINK-1832,2020-074AT,46780,6702492.88086878,331492.880868781,0.0002473,53.0386,193.3337,344.3908,338.2962,338.285717177328,15.82152056,7,7
EXT_P07_S08_46156,STARLINK-1545,2020-057AR,46156,6750559.5257133,379559.525713296,0.0005119,53.0429,185.5876,10.0993,350.0123,350.002119885373,15.65283853,7,8
EXT_P08_S01_47566,STARLINK-1965,2021-009U,47566,6682280.50992432,311280.509924324,0.0003959,53.0106,207.6136,264.0434,8.1681,8.17454877575798,15.89335954,8,1
EXT_P08_S02_46375,STARLINK-1724,2020-062BC,46375,6777797.28829212,406797.288292116,0.00041858,53.0295,217.6325,341.6683,18.4175,18.4326617649562,15.55857789,8,2
EXT_P08_S03_45699,STARLINK-1398,2020-035AU,45699,6608212.82413975,237212.82413975,0.0008874,53.0263,220.4122,309.2561,50.7687,50.847523131023,16.16131629,8,3
EXT_P08_S04_46344,STARLINK-1765,2020-062V,46344,6651856.141238,280856.141237998,0.0008385,53.0331,225.733,306.3576,53.6678,53.7452537286654,16.00252409,8,4
EXT_P08_S05_46347,STARLINK-1547,2020-062Y,46347,6745753.38340829,374753.383408288,0.00024237,53.0363,208.1566,255.6599,104.4147,104.441597196299,15.66956976,8,5
EXT_P08_S06_46359,STARLINK-1707,2020-062AL,46359,6744213.98359226,373213.983592255,0.00017879,53.0234,203.7757,243.8916,116.1915,116.20988240045,15.67493505,8,6
EXT_P08_S07_46119,STARLINK-1593,2020-057C,46119,6708595.66059025,337595.660590248,0.0003221,53.0413,195.9441,342.2555,134.3234,134.349798219092,15.79993632,8,7
EXT_P08_S08_46348,STARLINK-1553,2020-062Z,46348,6832310.94643462,461310.946434621,0.00036451,53.0379,240.1613,190.6324,169.4602,169.467837042038,15.37274159,8,8
EXT_P09_S01_46343,STARLINK-1764,2020-062U,46343,6736958.0405258,365958.040525799,0.0003144,53.042,244.0232,338.332,4.0909,4.09347118075014,15.70026556,9,1
EXT_P09_S02_46328,STARLINK-1686,2020-062D,46328,6725017.29495551,354017.294955511,0.0008263,53.0423,240.9723,329.8715,38.7895,38.8488654957145,15.74209952,9,2
EXT_P09_S03_46383,STARLINK-1770,2020-062BL,46383,6747862.02225128,376862.022251275,0.00036096,53.0414,244.6301,316.925,43.1482,43.1764969429302,15.66222546,9,3
EXT_P09_S04_47572,STARLINK-1971,2021-009AA,47572,6646344.53705132,275344.537051323,0.0007662,53.0331,246.1614,314.9771,45.0638,45.1259951660709,16.0224338,9,4
EXT_P09_S05_46352,STARLINK-1653,2020-062AD,46352,6758318.87626662,387318.876266625,0.0008545,53.0431,250.1428,306.8097,53.2132,53.2916700820698,15.6258893,9,5
EXT_P09_S06_46338,STARLINK-1752,2020-062P,46338,6619963.10980154,248963.109801544,0.0010484,53.0308,249.404,298.1273,61.8702,61.9762127664778,16.11830643,9,6
EXT_P09_S07_45703,STARLINK-1407,2020-035AY,45703,6756812.50812515,385812.508125147,0.00067096,53.0313,245.0689,161.3055,198.8206,198.795815675649,15.63111506,9,7
EXT_P09_S08_47559,STARLINK-1958,2021-009M,47559,6736030.49241188,365030.492411876,0.0006814,53.0427,248.4568,15.0214,345.1003,345.080206236888,15.70350855,9,8
EXT_P10_S01_45190,STARLINK-1234,2020-012N,45190,6751093.87292969,380093.872929689,0.00055014,53.0424,255.6501,338.6959,21.3825,21.4054991412408,15.65098019,10,1
EXT_P10_S02_47623,STARLINK-1655,2021-012D,47623,6744520.68655374,373520.686553737,0.00062135,53.0415,254.7604,328.041,32.0228,32.0605799281466,15.67386585,10,2
EXT_P10_S03_47643,STARLINK-2022,2021-012Z,47643,6539596.59521564,168596.59521564,0.0006231,52.9857,259.4773,263.4663,96.5674,96.638327124176,16.41633944,10,3
EXT_P10_S04_47604,STARLINK-2021,2021-009BJ,47604,6742656.9656428,371656.965642802,0.0004797,53.0424,263.1138,186.1854,163.7919,163.807234653833,15.68036486,10,4
EXT_P10_S05_46326,STARLINK-1654,2020-062B,46326,6730722.90196262,359722.901962623,0.0005047,53.0428,259.9425,352.8942,209.6083,209.579741569755,15.72208699,10,5
EXT_P10_S06_46354,STARLINK-1657,2020-062AF,46354,6672951.88556258,301951.885562584,0.0008857,53.0412,253.963,307.8458,216.2688,216.208812475729,15.92669898,10,6
EXT_P10_S07_46335,STARLINK-1727,2020-062L,46335,6729551.06220256,358551.062202561,0.0005824,53.0403,262.9008,340.8155,240.625,240.566863306037,15.72619378,10,7
EXT_P10_S08_46340,STARLINK-1759,2020-062R,46340,6757670.59022764,386670.590227637,1.24e-05,53.0233,259.779,75.0317,285.071,285.069627933118,15.62813792,10,8
EXT_P11_S01_45663,STARLINK-1446,2020-035G,45663,6814017.01579932,443017.015799322,9.642e-05,53.0239,292.0125,354.724,5.3754,5.37643519635983,15.43469107,11,1
EXT_P11_S02_46356,STARLINK-1665,2020-062AH,46356,6746149.96927235,375149.969272346,0.00042404,53.0418,269.0508,315.952,44.1157,44.1495378153455,15.66818803,11,2
EXT_P11_S03_46331,STARLINK-1719,2020-062G,46331,6763046.93837138,392046.938371385,0.0005073,53.0423,266.7929,314.3775,45.6821,45.723710607538,15.60950602,11,3
EXT_P11_S04_46384,STARLINK-1771,2020-062BM,46384,6799785.54552996,428785.545529958,0.0003481,53.042,276.3341,306.8149,53.2538,53.2857713750633,15.48317199,11,4
EXT_P11_S05_47624,STARLINK-1669,2021-012E,47624,6701761.19984668,330761.19984668,0.0005309,53.0317,277.7052,166.4439,93.7558,93.8165033494912,15.82411166,11,5
EXT_P11_S06_45706,STARLINK-1411,2020-035BB,45706,6750911.01429752,379911.014297524,0.0003465,53.0415,268.7822,208.7281,151.3543,151.373327493784,15.65161609,11,6
EXT_P11_S07_47592,STARLINK-1997,2021-009AW,47592,6741602.85335842,370602.853358424,0.0005402,53.0417,287.5154,138.7787,221.7458,221.704604497351,15.68404266,11,7
EXT_P11_S08_47679,STARLINK-2095,2021-012BM,47679,6705304.37198738,334304.371987377,0.0006006,53.0222,273.1721,239.882,338.4656,338.440319938655,15.81157081,11,8
EXT_P12_S01_46578,STARLINK-1683,2020-070AY,46578,6686278.36798835,315278.367988346,0.000382,53.0091,356.6391,95.5187,8.0059,8.01199950768107,15.87910724,12,1
EXT_P12_S02_45569,STARLINK-1366,2020-025AQ,45569,6711211.00169836,340211.001698365,0.00069067,53.0412,326.9461,109.7442,74.3862,74.4624420203037,15.79070143,12,2
EXT_P12_S03_45413,STARLINK-1298,2020-019BF,45413,6607235.22448689,236235.224486891,0.0001821,53.0291,334.549,221.2389,138.851,138.86472861971,16.16490324,12,3
EXT_P12_S04_47622,STARLINK-1645,2021-012C,47622,6681169.49683093,310169.496830933,0.0006077,53.0382,308.7417,157.9933,221.1466,221.100805704883,15.89732407,12,4
EXT_P12_S05_47649,STARLINK-2032,2021-012AF,47649,6743188.41128467,372188.411284671,0.00087001,53.041,308.964,129.2628,230.9161,230.8387668129,15.67851119,12,5
EXT_P12_S06_45669,STARLINK-1452,2020-035N,45669,6802902.31454751,431902.314547509,0.0006375,53.032,311.7393,110.8356,249.3334,249.26506802449,15.47253272,12,6
EXT_P12_S07_45568,STARLINK-1363,2020-025AP,45568,6707473.87937895,336473.879378946,0.0006486,53.0403,323.1291,116.3151,287.398,287.327059005499,15.80390014,12,7
EXT_P12_S08_47667,STARLINK-2058,2021-012AZ,47667,6680938.22101204,309938.221012038,0.0003874,53.0362,309.0187,150.6566,294.8532,294.812910353455,15.89814956,12,8
