name,description,url,content_type,saved_path,size_bytes,fetched_at_utc
starlink_json,Current GP data for Starlink in JSON format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=starlink&FORMAT=json-pretty,application/json; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_starlink_gp.json,5199022,2026-03-24 14:09:01 UTC
starlink_2le,Current GP data for Starlink in TLE format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=starlink&FORMAT=2le,text/plain; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_starlink_gp.2le,1403528,2026-03-24 14:09:01 UTC
oneweb_json,Current GP data for OneWeb in JSON format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=oneweb&FORMAT=json-pretty,application/json; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_oneweb_gp.json,339829,2026-03-24 14:09:01 UTC
oneweb_2le,Current GP data for OneWeb in TLE format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=oneweb&FORMAT=2le,text/plain; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_oneweb_gp.2le,92442,2026-03-24 14:09:01 UTC
qianfan_json,Current GP data for Qianfan in JSON format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=qianfan&FORMAT=json-pretty,application/json; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_qianfan_gp.json,56017,2026-03-24 14:09:01 UTC
qianfan_2le,Current GP data for Qianfan in TLE format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=qianfan&FORMAT=2le,text/plain; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_qianfan_gp.2le,15336,2026-03-24 14:09:01 UTC
active_csv,Current GP data for all active satellites in CSV format.,https://celestrak.org/NORAD/elements/gp.php?GROUP=active&FORMAT=csv,text/plain; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_active_gp.csv,2236873,2026-03-24 14:09:01 UTC
celestrak_group_index,CelesTrak group index page used to expand to more constellations later.,https://celestrak.org/NORAD/elements/index.php?FORMAT=csv,text/html; charset=UTF-8,D:\论文卫星\成果本身\IEICE进化_20260324\downloads\constellation_data\celestrak_group_index.html,26519,2026-03-24 14:09:01 UTC
